global_step,episode_reward,episode_reward_mean_smooth,,t
,158.8,162.75,,145.925063
,161.5,160.15,,146.224282
,171.1,166.3,,146.545155
,169.4,170.25,,146.855944
,158.6,164,,147.159874
,171.6,165.1,,147.471271
,156.6,164.1,,147.783757
,154.7,155.65,,148.0832
,174.8,164.75,,148.407291
,154.1,164.45,,148.71054
,166.8,160.45,,149.078239
,151.8,159.3,,149.38093
,160.3,156.05,,149.68494
,164.5,162.4,,149.990795
,180.5,172.5,,150.329794
,148.9,164.7,,150.617534
,181.5,165.2,,150.961334
,163.4,172.45,,151.256533
,132.1,147.75,,151.534466
,146.9,139.5,,151.817021
,177.9,162.4,,152.16462
,158.1,168,,152.468954
,178.2,168.15,,152.81034
,183.9,181.05,,153.148977
,133.3,158.6,,153.410579
,173.1,153.2,,153.728895
,181.9,177.5,,154.063798
,157.7,169.8,,154.356755
,163.5,160.6,,154.666283
,163.2,163.35,,154.977256
,160.3,161.75,,155.302506
,147.8,154.05,,155.595369
,159.1,153.45,,155.888004
,174.9,167,,156.230476
,170.9,172.9,,156.559575
,182.7,176.8,,156.877884
,153.5,168.1,,157.180136
,160.4,156.95,,157.472285
,157.8,159.1,,157.781465
,170.3,164.05,,158.101439
,177.7,174,,158.456712
,162.1,169.9,,158.772098
,176.9,169.5,,159.110329
,160.8,168.85,,159.414899
,143.1,151.95,,159.694927
,165.2,154.15,,160.014699
,159.1,162.15,,160.328384
,166.9,163,,160.642171
,172.6,169.75,,160.949553
,161.3,166.95,,161.23841
,156.1,158.7,,161.561391
,151.2,153.65,,161.846456
,178.7,164.95,,162.161242
,166,172.35,,162.473721
,179.8,172.9,,162.82044
,160.6,170.2,,163.107048
,173.2,166.9,,163.426886
,159.8,166.5,,163.730721
,158.4,159.1,,164.034133
,147.3,152.85,,164.316105
,166.7,157,,164.654958
,169.2,167.95,,164.955378
,170.4,169.8,,165.266095
,163.2,166.8,,165.597178
,172.9,168.05,,165.921523
,161.2,167.05,,166.233799
,154.2,157.7,,166.557855
,185.4,169.8,,166.899525
,151.3,168.35,,167.181831
,177.2,164.25,,167.520271
